ds,bookings,cancellations,room_nights_requested,room_nights_realized,gross_booking_value,realized_revenue,lost_revenue_estimate,capacity_room_night_proxy,cancellation_rate,occupancy_rate_estimate,average_daily_rate_proxy,y_booking_demand,y_occupancy_rate,y_revenue
2015-07-01,2774,1259,10727,6464,1146611.31,758089.5700000001,388521.74,13537.8,0.45385724585436193,0.4774778767598872,117.27870823019803,2774,0.4774778767598872,758089.5700000001
2015-08-01,3883,1598,14353,9108,1698064.85,1137172.22,560892.63,13537.8,0.411537471027556,0.672782874617737,124.85421826965305,3883,0.672782874617737,1137172.22
2015-09-01,5109,2093,17754,11031,1666155.3900000001,1054620.67,611534.72,13537.8,0.40966921119592875,0.814829588263972,95.60517360166801,5109,0.814829588263972,1054620.67
2015-10-01,4951,1732,15138,10025,1170191.08,784714.88,385476.19999999995,13537.8,0.3498283175116138,0.7405191390033832,78.27579850374065,4951,0.7405191390033832,784714.88
2015-11-01,2337,486,7648,5872,462971.38,346691.49,116279.88999999998,13537.8,0.2079589216944801,0.43374846725464994,59.04146628065395,2337,0.43374846725464994,346691.49
2015-12-01,2913,973,8861,5698,673276.51,429455.57,243820.94,13537.8,0.3340199107449365,0.42089556648790794,75.3695279045279,2913,0.42089556648790794,429455.57
2016-01-01,2248,557,6161,4235,403694.85,264521.38,139173.47,13537.8,0.24777580071174377,0.31282778590317484,62.46077449822904,2248,0.31282778590317484,264521.38
2016-02-01,3884,1335,11173,7033,787887.67,483833.1,304054.57,13537.8,0.3437178166838311,0.5195083396120492,68.79469643111048,3884,0.5195083396120492,483833.1
2016-03-01,4819,1477,15531,10218,1221755.6099999999,767300.38,454455.23,13537.8,0.3064951234695995,0.7547755174400568,75.09301037385006,4819,0.7547755174400568,767300.38
2016-04-01,5425,2060,17340,10520,1522165.3699999999,895772.62,626392.75,13537.8,0.3797235023041475,0.7770834256673906,85.1494885931559,5425,0.7770834256673906,895772.62
2016-05-01,5475,1915,17561,11632,1655026.2000000002,1072625.19,582401.01,13537.8,0.3497716894977169,0.8592238029812821,92.21330725584593,5475,0.8592238029812821,1072625.19
2016-06-01,5290,2096,18085,11397,1898288.08,1144603.67,753684.41,13537.8,0.39621928166351605,0.8418650002216018,100.4302597174695,5290,0.8418650002216018,1144603.67
2016-07-01,4560,1494,18011,11940,2303533.08,1521023.58,782509.5,13537.8,0.32763157894736844,0.8819749146833311,127.3889095477387,4560,0.8819749146833311,1521023.58
2016-08-01,5055,1825,19714,12418,2886204.22,1800551.08,1085653.1400000001,13537.8,0.361028684470821,0.9172834581689787,144.9952552746014,5055,0.9172834581689787,1800551.08
2016-09-01,5391,2022,18581,11839,2064409.35,1288500.35,775909.0,13537.8,0.37506956037840844,0.8745143228589579,108.8352352394628,5391,0.8745143228589579,1288500.35
2016-10-01,6196,2514,19687,11747,1839207.43,1072041.85,767165.5800000001,13537.8,0.4057456423499032,0.8677185362466575,91.26090491189241,6196,0.8677185362466575,1072041.85
2016-11-01,4434,1634,13958,8817,1135425.19,687101.5,448323.69,13537.8,0.36851601262967976,0.6512875060940478,77.929170919814,4434,0.6512875060940478,687101.5
2016-12-01,3846,1395,12956,7594,1122594.03,654155.1100000001,468438.92,13537.8,0.3627145085803432,0.5609478644979243,86.14104687911511,3846,0.5609478644979243,654155.1100000001
2017-01-01,3673,1249,11385,7027,868976.52,511749.39999999997,357227.12,13537.8,0.34004900626191126,0.519065136137334,72.82615625444713,3673,0.519065136137334,511749.39999999997
2017-02-01,4168,1358,13231,8710,1030164.26,662787.61,367376.64999999997,13537.8,0.32581573896353166,0.6433837107949594,76.09501836969001,4168,0.6433837107949594,662787.61
2017-03-01,4949,1671,17810,11448,1412953.94,885421.6699999999,527532.27,13537.8,0.3376439684784805,0.8456322297566813,77.34291317260656,4949,0.8456322297566813,885421.6699999999
2017-04-01,5653,2458,19959,11244,2186771.9699999997,1202686.1,984085.8700000001,13537.8,0.4348133734300372,0.8305633116163631,106.96247776591962,5653,0.8305633116163631,1202686.1
2017-05-01,6305,2762,21048,11959,2449589.66,1320721.0,1128868.66,13537.8,0.4380650277557494,0.8833783923532628,110.43741115477883,6305,0.8833783923532628,1320721.0
2017-06-01,5639,2438,21002,11723,2598423.4699999997,1436738.51,1161684.96,13537.8,0.4323461606667849,0.8659457223477965,122.5572387614092,5639,0.8659457223477965,1436738.51
2017-07-01,5310,1984,20887,12458,3117700.05,1808094.52,1309605.53,13537.8,0.3736346516007533,0.9202381480004137,145.13521592550973,5310,0.9202381480004137,1808094.52
2017-08-01,4923,1814,19882,12135,3306090.36,1946454.0699999998,1359636.29,13537.8,0.36847450741417836,0.8963790276115765,160.40000576843838,4923,0.8963790276115765,1946454.0699999998
