market_segment,distribution_channel,bookings,cancellation_rate,adr,realized_revenue,repeat_guest_rate,special_request_rate,revenue_per_booking
Online TA,TA/TO,56087,0.3687485513577121,117.14998145737871,13622546.32,0.00909301620696418,0.9006008522474014,242.8824205252554
Offline TA/TO,TA/TO,23909,0.3424651804759714,86.97565644736292,5617033.38,0.014471537914592832,0.27031661717344935,234.93384834162867
Direct,Direct,12253,0.15612503060474986,115.66254957969477,3993350.65,0.052558557088060065,0.5675344813515057,325.9079939606627
Groups,TA/TO,17095,0.6524129862532905,80.84851594033343,1417657.79,0.014331675928634104,0.09043579994150336,82.92821234279029
Corporate,Corporate,4777,0.18379736236131464,67.91476658990999,519669.69,0.2934896378480218,0.2342474356290559,108.78578396483148
Groups,Direct,1472,0.3688858695652174,74.50474184782608,254706.62,0.008831521739130434,0.06793478260869565,173.0343885869565
Groups,Corporate,1224,0.32516339869281047,66.75412581699347,195477.01,0.008169934640522876,0.06372549019607843,159.70343954248366
Direct,TA/TO,237,0.04219409282700422,110.44443037974685,73739.5,0.4810126582278481,1.1561181434599157,311.13713080168776
Aviation,Corporate,225,0.22666666666666666,101.23857777777778,68506.36,0.25333333333333335,0.12,304.4727111111111
Corporate,TA/TO,334,0.2844311377245509,91.41550898203593,39328.42,0.05688622754491018,0.12275449101796407,117.74976047904191
Offline TA/TO,Corporate,212,0.4858490566037736,111.77830188679245,31790.0,0.03773584905660377,0.04716981132075472,149.95283018867926
Online TA,Direct,130,0.06923076923076923,103.04323076923077,30380.63,0.38461538461538464,1.3384615384615384,233.69715384615387
Online TA,GDS,147,0.19727891156462585,121.26632653061226,25642.37,0.013605442176870748,0.20408163265306123,174.43789115646257
Corporate,Direct,171,0.10526315789473684,70.25748538011696,18661.08,0.29239766081871343,0.3216374269005848,109.12912280701755
Direct,Corporate,89,0.11235955056179775,62.0614606741573,8131.3099999999995,0.38202247191011235,0.24719101123595505,91.36303370786516
Offline TA/TO,GDS,45,0.17777777777777778,118.374,7137.59,0.022222222222222223,0.17777777777777778,158.61311111111112
Online TA,Corporate,43,0.32558139534883723,102.67325581395349,3801.55,0.16279069767441862,0.37209302325581395,88.40813953488373
Complementary,Direct,569,0.12126537785588752,2.395518453427065,2709.0,0.28822495606326887,0.9173989455184535,4.760984182776801
Aviation,TA/TO,10,0.1,95.5,2362.0,0.7,0.0,236.2
Offline TA/TO,Direct,16,0.1875,77.633125,1900.79,0.5625,0.25,118.799375
Complementary,TA/TO,78,0.08974358974358974,9.322051282051282,1847.53,0.16666666666666666,0.8846153846153846,23.686282051282053
Direct,Undefined,2,0.5,62.35,563.5,0.0,1.5,281.75
Complementary,Corporate,81,0.16049382716049382,0.671604938271605,256.0,0.6172839506172839,1.2098765432098766,3.1604938271604937
Direct,GDS,1,0.0,114.0,228.0,0.0,0.0,228.0
Online TA,Undefined,1,1.0,76.5,0.0,0.0,1.0,0.0
Undefined,Undefined,2,1.0,15.0,0.0,0.0,1.5,0.0
